ST_NAME,AC_NAME,AC_TYPE,REGION,GEOSTATUS,RELSTATUS,CCODE,LY_WINNER
UTTARAKHAND,PUROLA,SC,GARHWAL,RURAL,MIXED,28001,BJP
UTTARAKHAND,YAMUNOTRI,GENERAL,GARHWAL,RURAL,MIXED,28002,UKKD (P)
UTTARAKHAND,GANGOTRI,GENERAL,GARHWAL,RURAL,MIXED,28003,INC
UTTARAKHAND,GHANSHALI,SC,GARHWAL,RURAL,MIXED,28009,BJP
UTTARAKHAND,PRATAPNAGAR,GENERAL,GARHWAL,RURAL,MIXED,28012,INC
UTTARAKHAND,TEHRI,GENERAL,GARHWAL,SEMI-URBAN,MIXED,28013,IND
UTTARAKHAND,DHANOLTI,GENERAL,GARHWAL,RURAL,MIXED,28014,BJP
UTTARAKHAND,CHAKRATA,ST,GARHWAL,RURAL,MIXED,28015,INC
UTTARAKHAND,VIKASNAGAR,GENERAL,MAIDAN,RURAL,MIXED,28016,INC
UTTARAKHAND,SAHASPUR,GENERAL,MAIDAN,RURAL,MIXED,28017,BJP
UTTARAKHAND,RAIPUR,GENERAL,MAIDAN,SEMI-URBAN,MIXED,28019,INC
UTTARAKHAND,RAJPUR ROAD,SC,MAIDAN,URBAN,MIXED,28020,INC
UTTARAKHAND,DEHRADUN CANTT,GENERAL,MAIDAN,URBAN,MIXED,28021,BJP
UTTARAKHAND,MUSSOORIE,GENERAL,GARHWAL,URBAN,MIXED,28022,BJP
UTTARAKHAND,BADRINATH,GENERAL,GARHWAL,SEMI-URBAN,MIXED,28004,INC
UTTARAKHAND,THARALI,SC,GARHWAL,RURAL,MIXED,28005,INC
UTTARAKHAND,KARNPRAYAG,GENERAL,GARHWAL,RURAL,MIXED,28006,INC
UTTARAKHAND,KEDARNATH,GENERAL,GARHWAL,RURAL,MIXED,28007,INC
UTTARAKHAND,RUDRAPRAYAG,GENERAL,GARHWAL,RURAL,MIXED,28008,INC
UTTARAKHAND,DEOPRAYAG,GENERAL,GARHWAL,RURAL,MIXED,28010,IND
UTTARAKHAND,NARENDRANAGAR,GENERAL,GARHWAL,RURAL,MIXED,28011,INC
UTTARAKHAND,YAMKESHWAR,GENERAL,GARHWAL,RURAL,MIXED,28036,BJP
UTTARAKHAND,PAURI,SC,GARHWAL,RURAL,MIXED,28037,INC
UTTARAKHAND,SRINAGAR,GENERAL,GARHWAL,RURAL,MIXED,28038,INC
UTTARAKHAND,CHAUBATTAKHAL,GENERAL,GARHWAL,RURAL,MIXED,28039,BJP
UTTARAKHAND,LANSDOWNE,GENERAL,GARHWAL,RURAL,MIXED,28040,BJP
UTTARAKHAND,KOTDWAR,GENERAL,GARHWAL,SEMI-URBAN,MIXED,28041,INC
UTTARAKHAND,RAMNAGAR,GENERAL,KUMAUN,SEMI-URBAN,MIXED,28061,INC
UTTARAKHAND,DHARCHULA,GENERAL,KUMAUN,RURAL,MIXED,28042,INC
UTTARAKHAND,DIDIHAT,GENERAL,KUMAUN,RURAL,MIXED,28043,BJP
UTTARAKHAND,PITHORAGARH,GENERAL,KUMAUN,SEMI-URBAN,MIXED,28044,INC
UTTARAKHAND,GANGOLIHAT,SC,KUMAUN,RURAL,MIXED,28045,INC
UTTARAKHAND,KAPKOTE,GENERAL,KUMAUN,RURAL,MIXED,28046,INC
UTTARAKHAND,BAGESHWAR,SC,KUMAUN,RURAL,MIXED,28047,BJP
UTTARAKHAND,DWARAHAT,GENERAL,KUMAUN,RURAL,MIXED,28048,INC
UTTARAKHAND,SALT,GENERAL,KUMAUN,RURAL,MIXED,28049,BJP
UTTARAKHAND,RANIKHET,GENERAL,KUMAUN,RURAL,MIXED,28050,BJP
UTTARAKHAND,SOMESHWAR,SC,KUMAUN,RURAL,MIXED,28051,BJP
UTTARAKHAND,ALMORA,GENERAL,KUMAUN,SEMI-URBAN,MIXED,28052,INC
UTTARAKHAND,JAGESHWAR,GENERAL,KUMAUN,RURAL,MIXED,28053,INC
UTTARAKHAND,LOHAGHAT,GENERAL,KUMAUN,SEMI-URBAN,MIXED,28054,BJP
UTTARAKHAND,CHAMPAWAT,GENERAL,KUMAUN,RURAL,MIXED,28055,INC
UTTARAKHAND,LALKUWA,GENERAL,KUMAUN,RURAL,MIXED,28056,IND
UTTARAKHAND,BHIMTAL,GENERAL,KUMAUN,RURAL,MIXED,28057,BJP
UTTARAKHAND,NAINITAL,SC,KUMAUN,SEMI-URBAN,MIXED,28058,INC
UTTARAKHAND,HALDWANI,GENERAL,KUMAUN,URBAN,MUSLIM,28059,INC
UTTARAKHAND,KALADHUNGI,GENERAL,KUMAUN,RURAL,MIXED,28060,BJP
UTTARAKHAND,JASPUR,GENERAL,MAIDAN,SEMI-URBAN,MUSLIM,28062,INC
UTTARAKHAND,KASHIPUR,GENERAL,MAIDAN,SEMI-URBAN,MUSLIM,28063,BJP
UTTARAKHAND,BAJPUR,SC,MAIDAN,SEMI-URBAN,MIXED,28064,INC
UTTARAKHAND,GADARPUR,GENERAL,MAIDAN,RURAL,MIXED,28065,BJP
UTTARAKHAND,RUDRAPUR,GENERAL,MAIDAN,SEMI-URBAN,MIXED,28066,BJP
UTTARAKHAND,KICHHA,GENERAL,MAIDAN,SEMI-URBAN,MIXED,28067,BJP
UTTARAKHAND,SITARGANJ,GENERAL,MAIDAN,RURAL,MIXED,28068,BJP
UTTARAKHAND,NANAK MATTA,ST,MAIDAN,RURAL,MIXED,28069,BJP
UTTARAKHAND,KHATIMA,GENERAL,MAIDAN,RURAL,MIXED,28070,BJP
UTTARAKHAND,DHARAMPUR,GENERAL,MAIDAN,SEMI-URBAN,MIXED,28018,INC
UTTARAKHAND,DOIWALA,GENERAL,MAIDAN,RURAL,MIXED,28023,BJP
UTTARAKHAND,RISHIKESH,GENERAL,MAIDAN,SEMI-URBAN,MIXED,28024,BJP
UTTARAKHAND,HARDWAR,GENERAL,MAIDAN,URBAN,MIXED,28025,BJP
UTTARAKHAND,B.H.E.L. RANIPUR,GENERAL,MAIDAN,SEMI-URBAN,MIXED,28026,BJP
UTTARAKHAND,JWALAPUR,SC,MAIDAN,RURAL,MUSLIM,28027,BJP
UTTARAKHAND,BHAGWANPUR,SC,MAIDAN,RURAL,MUSLIM,28028,BSP
UTTARAKHAND,JHABRERA,SC,MAIDAN,RURAL,MUSLIM,28029,BSP
UTTARAKHAND,PIRANKALIYAR,GENERAL,MAIDAN,RURAL,MUSLIM,28030,INC
UTTARAKHAND,ROORKEE,GENERAL,MAIDAN,URBAN,MIXED,28031,INC
UTTARAKHAND,KHANPUR,GENERAL,MAIDAN,SEMI-URBAN,MUSLIM,28032,INC
UTTARAKHAND,MANGLORE,GENERAL,MAIDAN,SEMI-URBAN,MUSLIM,28033,BSP
UTTARAKHAND,LAKSAR,GENERAL,MAIDAN,RURAL,MIXED,28034,BJP
UTTARAKHAND,HARDWAR RURAL,GENERAL,MAIDAN,RURAL,MIXED,28035,BJP
